buying,maint,doors,persons,lug_boot,safety,ClassValues
4,4,2,2,small,1,unacc
4,4,2,2,small,2,unacc
4,4,2,2,small,3,unacc
4,4,2,2,2,1,unacc
4,4,2,2,2,2,unacc
4,4,2,2,2,3,unacc
4,4,2,2,big,1,unacc
4,4,2,2,big,2,unacc
4,4,2,2,big,3,unacc
4,4,2,4,small,1,unacc
4,4,2,4,small,2,unacc
4,4,2,4,small,3,unacc
4,4,2,4,2,1,unacc
4,4,2,4,2,2,unacc
4,4,2,4,2,3,unacc
4,4,2,4,big,1,unacc
4,4,2,4,big,2,unacc
4,4,2,4,big,3,unacc
4,4,2,more,small,1,unacc
4,4,2,more,small,2,unacc
4,4,2,more,small,3,unacc
4,4,2,more,2,1,unacc
4,4,2,more,2,2,unacc
4,4,2,more,2,3,unacc
4,4,2,more,big,1,unacc
4,4,2,more,big,2,unacc
4,4,2,more,big,3,unacc
4,4,3,2,small,1,unacc
4,4,3,2,small,2,unacc
4,4,3,2,small,3,unacc
4,4,3,2,2,1,unacc
4,4,3,2,2,2,unacc
4,4,3,2,2,3,unacc
4,4,3,2,big,1,unacc
4,4,3,2,big,2,unacc
4,4,3,2,big,3,unacc
4,4,3,4,small,1,unacc
4,4,3,4,small,2,unacc
4,4,3,4,small,3,unacc
4,4,3,4,2,1,unacc
4,4,3,4,2,2,unacc
4,4,3,4,2,3,unacc
4,4,3,4,big,1,unacc
4,4,3,4,big,2,unacc
4,4,3,4,big,3,unacc
4,4,3,more,small,1,unacc
4,4,3,more,small,2,unacc
4,4,3,more,small,3,unacc
4,4,3,more,2,1,unacc
4,4,3,more,2,2,unacc
4,4,3,more,2,3,unacc
4,4,3,more,big,1,unacc
4,4,3,more,big,2,unacc
4,4,3,more,big,3,unacc
4,4,4,2,small,1,unacc
4,4,4,2,small,2,unacc
4,4,4,2,small,3,unacc
4,4,4,2,2,1,unacc
4,4,4,2,2,2,unacc
4,4,4,2,2,3,unacc
4,4,4,2,big,1,unacc
4,4,4,2,big,2,unacc
4,4,4,2,big,3,unacc
4,4,4,4,small,1,unacc
4,4,4,4,small,2,unacc
4,4,4,4,small,3,unacc
4,4,4,4,2,1,unacc
4,4,4,4,2,2,unacc
4,4,4,4,2,3,unacc
4,4,4,4,big,1,unacc
4,4,4,4,big,2,unacc
4,4,4,4,big,3,unacc
4,4,4,more,small,1,unacc
4,4,4,more,small,2,unacc
4,4,4,more,small,3,unacc
4,4,4,more,2,1,unacc
4,4,4,more,2,2,unacc
4,4,4,more,2,3,unacc
4,4,4,more,big,1,unacc
4,4,4,more,big,2,unacc
4,4,4,more,big,3,unacc
4,4,5,2,small,1,unacc
4,4,5,2,small,2,unacc
4,4,5,2,small,3,unacc
4,4,5,2,2,1,unacc
4,4,5,2,2,2,unacc
4,4,5,2,2,3,unacc
4,4,5,2,big,1,unacc
4,4,5,2,big,2,unacc
4,4,5,2,big,3,unacc
4,4,5,4,small,1,unacc
4,4,5,4,small,2,unacc
4,4,5,4,small,3,unacc
4,4,5,4,2,1,unacc
4,4,5,4,2,2,unacc
4,4,5,4,2,3,unacc
4,4,5,4,big,1,unacc
4,4,5,4,big,2,unacc
4,4,5,4,big,3,unacc
4,4,5,more,small,1,unacc
4,4,5,more,small,2,unacc
4,4,5,more,small,3,unacc
4,4,5,more,2,1,unacc
4,4,5,more,2,2,unacc
4,4,5,more,2,3,unacc
4,4,5,more,big,1,unacc
4,4,5,more,big,2,unacc
4,4,5,more,big,3,unacc
4,3,2,2,small,1,unacc
4,3,2,2,small,2,unacc
4,3,2,2,small,3,unacc
4,3,2,2,2,1,unacc
4,3,2,2,2,2,unacc
4,3,2,2,2,3,unacc
4,3,2,2,big,1,unacc
4,3,2,2,big,2,unacc
4,3,2,2,big,3,unacc
4,3,2,4,small,1,unacc
4,3,2,4,small,2,unacc
4,3,2,4,small,3,unacc
4,3,2,4,2,1,unacc
4,3,2,4,2,2,unacc
4,3,2,4,2,3,unacc
4,3,2,4,big,1,unacc
4,3,2,4,big,2,unacc
4,3,2,4,big,3,unacc
4,3,2,more,small,1,unacc
4,3,2,more,small,2,unacc
4,3,2,more,small,3,unacc
4,3,2,more,2,1,unacc
4,3,2,more,2,2,unacc
4,3,2,more,2,3,unacc
4,3,2,more,big,1,unacc
4,3,2,more,big,2,unacc
4,3,2,more,big,3,unacc
4,3,3,2,small,1,unacc
4,3,3,2,small,2,unacc
4,3,3,2,small,3,unacc
4,3,3,2,2,1,unacc
4,3,3,2,2,2,unacc
4,3,3,2,2,3,unacc
4,3,3,2,big,1,unacc
4,3,3,2,big,2,unacc
4,3,3,2,big,3,unacc
4,3,3,4,small,1,unacc
4,3,3,4,small,2,unacc
4,3,3,4,small,3,unacc
4,3,3,4,2,1,unacc
4,3,3,4,2,2,unacc
4,3,3,4,2,3,unacc
4,3,3,4,big,1,unacc
4,3,3,4,big,2,unacc
4,3,3,4,big,3,unacc
4,3,3,more,small,1,unacc
4,3,3,more,small,2,unacc
4,3,3,more,small,3,unacc
4,3,3,more,2,1,unacc
4,3,3,more,2,2,unacc
4,3,3,more,2,3,unacc
4,3,3,more,big,1,unacc
4,3,3,more,big,2,unacc
4,3,3,more,big,3,unacc
4,3,4,2,small,1,unacc
4,3,4,2,small,2,unacc
4,3,4,2,small,3,unacc
4,3,4,2,2,1,unacc
4,3,4,2,2,2,unacc
4,3,4,2,2,3,unacc
4,3,4,2,big,1,unacc
4,3,4,2,big,2,unacc
4,3,4,2,big,3,unacc
4,3,4,4,small,1,unacc
4,3,4,4,small,2,unacc
4,3,4,4,small,3,unacc
4,3,4,4,2,1,unacc
4,3,4,4,2,2,unacc
4,3,4,4,2,3,unacc
4,3,4,4,big,1,unacc
4,3,4,4,big,2,unacc
4,3,4,4,big,3,unacc
4,3,4,more,small,1,unacc
4,3,4,more,small,2,unacc
4,3,4,more,small,3,unacc
4,3,4,more,2,1,unacc
4,3,4,more,2,2,unacc
4,3,4,more,2,3,unacc
4,3,4,more,big,1,unacc
4,3,4,more,big,2,unacc
4,3,4,more,big,3,unacc
4,3,5,2,small,1,unacc
4,3,5,2,small,2,unacc
4,3,5,2,small,3,unacc
4,3,5,2,2,1,unacc
4,3,5,2,2,2,unacc
4,3,5,2,2,3,unacc
4,3,5,2,big,1,unacc
4,3,5,2,big,2,unacc
4,3,5,2,big,3,unacc
4,3,5,4,small,1,unacc
4,3,5,4,small,2,unacc
4,3,5,4,small,3,unacc
4,3,5,4,2,1,unacc
4,3,5,4,2,2,unacc
4,3,5,4,2,3,unacc
4,3,5,4,big,1,unacc
4,3,5,4,big,2,unacc
4,3,5,4,big,3,unacc
4,3,5,more,small,1,unacc
4,3,5,more,small,2,unacc
4,3,5,more,small,3,unacc
4,3,5,more,2,1,unacc
4,3,5,more,2,2,unacc
4,3,5,more,2,3,unacc
4,3,5,more,big,1,unacc
4,3,5,more,big,2,unacc
4,3,5,more,big,3,unacc
4,2,2,2,small,1,unacc
4,2,2,2,small,2,unacc
4,2,2,2,small,3,unacc
4,2,2,2,2,1,unacc
4,2,2,2,2,2,unacc
4,2,2,2,2,3,unacc
4,2,2,2,big,1,unacc
4,2,2,2,big,2,unacc
4,2,2,2,big,3,unacc
4,2,2,4,small,1,unacc
4,2,2,4,small,2,unacc
4,2,2,4,small,3,acc
4,2,2,4,2,1,unacc
4,2,2,4,2,2,unacc
4,2,2,4,2,3,acc
4,2,2,4,big,1,unacc
4,2,2,4,big,2,acc
4,2,2,4,big,3,acc
4,2,2,more,small,1,unacc
4,2,2,more,small,2,unacc
4,2,2,more,small,3,unacc
4,2,2,more,2,1,unacc
4,2,2,more,2,2,unacc
4,2,2,more,2,3,acc
4,2,2,more,big,1,unacc
4,2,2,more,big,2,acc
4,2,2,more,big,3,acc
4,2,3,2,small,1,unacc
4,2,3,2,small,2,unacc
4,2,3,2,small,3,unacc
4,2,3,2,2,1,unacc
4,2,3,2,2,2,unacc
4,2,3,2,2,3,unacc
4,2,3,2,big,1,unacc
4,2,3,2,big,2,unacc
4,2,3,2,big,3,unacc
4,2,3,4,small,1,unacc
4,2,3,4,small,2,unacc
4,2,3,4,small,3,acc
4,2,3,4,2,1,unacc
4,2,3,4,2,2,unacc
4,2,3,4,2,3,acc
4,2,3,4,big,1,unacc
4,2,3,4,big,2,acc
4,2,3,4,big,3,acc
4,2,3,more,small,1,unacc
4,2,3,more,small,2,unacc
4,2,3,more,small,3,acc
4,2,3,more,2,1,unacc
4,2,3,more,2,2,acc
4,2,3,more,2,3,acc
4,2,3,more,big,1,unacc
4,2,3,more,big,2,acc
4,2,3,more,big,3,acc
4,2,4,2,small,1,unacc
4,2,4,2,small,2,unacc
4,2,4,2,small,3,unacc
4,2,4,2,2,1,unacc
4,2,4,2,2,2,unacc
4,2,4,2,2,3,unacc
4,2,4,2,big,1,unacc
4,2,4,2,big,2,unacc
4,2,4,2,big,3,unacc
4,2,4,4,small,1,unacc
4,2,4,4,small,2,unacc
4,2,4,4,small,3,acc
4,2,4,4,2,1,unacc
4,2,4,4,2,2,acc
4,2,4,4,2,3,acc
4,2,4,4,big,1,unacc
4,2,4,4,big,2,acc
4,2,4,4,big,3,acc
4,2,4,more,small,1,unacc
4,2,4,more,small,2,unacc
4,2,4,more,small,3,acc
4,2,4,more,2,1,unacc
4,2,4,more,2,2,acc
4,2,4,more,2,3,acc
4,2,4,more,big,1,unacc
4,2,4,more,big,2,acc
4,2,4,more,big,3,acc
4,2,5,2,small,1,unacc
4,2,5,2,small,2,unacc
4,2,5,2,small,3,unacc
4,2,5,2,2,1,unacc
4,2,5,2,2,2,unacc
4,2,5,2,2,3,unacc
4,2,5,2,big,1,unacc
4,2,5,2,big,2,unacc
4,2,5,2,big,3,unacc
4,2,5,4,small,1,unacc
4,2,5,4,small,2,unacc
4,2,5,4,small,3,acc
4,2,5,4,2,1,unacc
4,2,5,4,2,2,acc
4,2,5,4,2,3,acc
4,2,5,4,big,1,unacc
4,2,5,4,big,2,acc
4,2,5,4,big,3,acc
4,2,5,more,small,1,unacc
4,2,5,more,small,2,unacc
4,2,5,more,small,3,acc
4,2,5,more,2,1,unacc
4,2,5,more,2,2,acc
4,2,5,more,2,3,acc
4,2,5,more,big,1,unacc
4,2,5,more,big,2,acc
4,2,5,more,big,3,acc
4,1,2,2,small,1,unacc
4,1,2,2,small,2,unacc
4,1,2,2,small,3,unacc
4,1,2,2,2,1,unacc
4,1,2,2,2,2,unacc
4,1,2,2,2,3,unacc
4,1,2,2,big,1,unacc
4,1,2,2,big,2,unacc
4,1,2,2,big,3,unacc
4,1,2,4,small,1,unacc
4,1,2,4,small,2,unacc
4,1,2,4,small,3,acc
4,1,2,4,2,1,unacc
4,1,2,4,2,2,unacc
4,1,2,4,2,3,acc
4,1,2,4,big,1,unacc
4,1,2,4,big,2,acc
4,1,2,4,big,3,acc
4,1,2,more,small,1,unacc
4,1,2,more,small,2,unacc
4,1,2,more,small,3,unacc
4,1,2,more,2,1,unacc
4,1,2,more,2,2,unacc
4,1,2,more,2,3,acc
4,1,2,more,big,1,unacc
4,1,2,more,big,2,acc
4,1,2,more,big,3,acc
4,1,3,2,small,1,unacc
4,1,3,2,small,2,unacc
4,1,3,2,small,3,unacc
4,1,3,2,2,1,unacc
4,1,3,2,2,2,unacc
4,1,3,2,2,3,unacc
4,1,3,2,big,1,unacc
4,1,3,2,big,2,unacc
4,1,3,2,big,3,unacc
4,1,3,4,small,1,unacc
4,1,3,4,small,2,unacc
4,1,3,4,small,3,acc
4,1,3,4,2,1,unacc
4,1,3,4,2,2,unacc
4,1,3,4,2,3,acc
4,1,3,4,big,1,unacc
4,1,3,4,big,2,acc
4,1,3,4,big,3,acc
4,1,3,more,small,1,unacc
4,1,3,more,small,2,unacc
4,1,3,more,small,3,acc
4,1,3,more,2,1,unacc
4,1,3,more,2,2,acc
4,1,3,more,2,3,acc
4,1,3,more,big,1,unacc
4,1,3,more,big,2,acc
4,1,3,more,big,3,acc
4,1,4,2,small,1,unacc
4,1,4,2,small,2,unacc
