@relation bank-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last

@attribute age numeric
@attribute job_merged_values {admin._or_housemaid_or_management,blue-collar,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,retired_or_student_or_unknown}
@attribute marital_merged_values {divorced_or_single,married}
@attribute education_merged_values {primary_or_secondary_or_unknown,tertiary}
@attribute default_merged_values {no_or_yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact_merged_values {cellular_or_telephone,unknown}
@attribute day numeric
@attribute month_merged_values {apr_or_feb,aug_or_jan_or_jul_or_jun_or_nov,dec_or_mar_or_oct_or_sep,may}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {failure,other,success,unknown}
@attribute y {no,yes}

@data
30,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,1787,no,no,cellular_or_telephone,19,dec_or_mar_or_oct_or_sep,79,1,-1,0,unknown,no
33,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,4789,yes,yes,cellular_or_telephone,11,may,220,1,339,4,failure,no
35,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,1350,yes,no,cellular_or_telephone,16,apr_or_feb,185,1,330,1,failure,no
30,admin._or_housemaid_or_management,married,tertiary,no_or_yes,1476,yes,yes,unknown,3,aug_or_jan_or_jul_or_jun_or_nov,199,4,-1,0,unknown,no
59,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,admin._or_housemaid_or_management,divorced_or_single,tertiary,no_or_yes,747,no,no,cellular_or_telephone,23,apr_or_feb,141,2,176,3,failure,no
36,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,307,yes,no,cellular_or_telephone,14,may,341,1,330,2,other,no
39,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,147,yes,no,cellular_or_telephone,6,may,151,2,-1,0,unknown,no
41,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no
43,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,-88,yes,yes,cellular_or_telephone,17,apr_or_feb,313,1,147,2,failure,no
39,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,9374,yes,no,unknown,20,may,273,1,-1,0,unknown,no
43,admin._or_housemaid_or_management,married,primary_or_secondary_or_unknown,no_or_yes,264,yes,no,cellular_or_telephone,17,apr_or_feb,113,2,-1,0,unknown,no
36,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,tertiary,no_or_yes,1109,no,no,cellular_or_telephone,13,aug_or_jan_or_jul_or_jun_or_nov,328,2,-1,0,unknown,no
20,retired_or_student_or_unknown,divorced_or_single,primary_or_secondary_or_unknown,no_or_yes,502,no,no,cellular_or_telephone,30,apr_or_feb,261,1,-1,0,unknown,yes
31,blue-collar,married,primary_or_secondary_or_unknown,no_or_yes,360,yes,yes,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,89,1,241,1,failure,no
40,admin._or_housemaid_or_management,married,tertiary,no_or_yes,194,no,yes,cellular_or_telephone,29,aug_or_jan_or_jul_or_jun_or_nov,189,2,-1,0,unknown,no
56,entrepreneur_or_self-employed_or_services_or_technician_or_unemployed,married,primary_or_secondary_or_unknown,no_or_yes,4073,no,no,cellular_or_telephone,27,aug_or_jan_or_jul_or_jun_or_nov,239,5,-1,0,unknown,no
