@relation bank-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute job {admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown}
@attribute marital {divorced,married,single}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,telephone,unknown}
@attribute day numeric
@attribute month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {failure,other,success,unknown}
@attribute y {no,yes}

@data
0.161765,unemployed,married,primary,no,0.068455,no,no,cellular,0.6,oct,0.024826,0,0,0,unknown,no
0.205882,services,married,secondary,no,0.10875,yes,yes,cellular,0.333333,may,0.0715,0,0.389908,0.16,failure,no
0.235294,management,single,tertiary,no,0.06259,yes,no,cellular,0.5,apr,0.059914,0,0.379587,0.04,failure,no
0.161765,management,married,tertiary,no,0.064281,yes,yes,unknown,0.066667,jun,0.064548,0.061224,0,0,unknown,no
0.588235,blue-collar,married,secondary,no,0.044469,yes,no,unknown,0.133333,may,0.073486,0,0,0,unknown,no
0.235294,management,single,tertiary,no,0.054496,no,no,cellular,0.733333,feb,0.045349,0.020408,0.202982,0.12,failure,no
0.25,self-employed,married,tertiary,no,0.04859,yes,no,cellular,0.433333,may,0.111552,0,0.379587,0.08,other,no
0.294118,technician,married,secondary,no,0.046442,yes,no,cellular,0.166667,may,0.048659,0.020408,0,0,unknown,no
0.323529,entrepreneur,married,tertiary,no,0.047436,yes,no,unknown,0.433333,may,0.017544,0.020408,0,0,unknown,no
0.352941,services,married,primary,no,0.043288,yes,yes,cellular,0.533333,apr,0.102284,0,0.169725,0.08,failure,no
0.294118,services,married,secondary,no,0.170293,yes,no,unknown,0.633333,may,0.089043,0,0,0,unknown,no
0.352941,admin.,married,secondary,no,0.048013,yes,no,cellular,0.533333,apr,0.036081,0.020408,0,0,unknown,no
0.25,technician,married,tertiary,no,0.059355,no,no,cellular,0.4,aug,0.107249,0.020408,0,0,unknown,no
0.014706,student,single,secondary,no,0.051207,no,no,cellular,0.966667,apr,0.085071,0,0,0,unknown,yes
0.176471,blue-collar,married,secondary,no,0.049301,yes,yes,cellular,0.933333,jan,0.028136,0,0.277523,0.04,failure,no
0.308824,management,married,tertiary,no,0.047073,no,yes,cellular,0.933333,aug,0.061238,0.020408,0,0,unknown,no
0.544118,technician,married,secondary,no,0.09914,no,no,cellular,0.866667,aug,0.077789,0.081633,0,0,unknown,no
0.264706,admin.,single,tertiary,no,0.075569,yes,no,cellular,0.633333,apr,0.036412,0,0.175459,0.08,failure,no
0.088235,blue-collar,single,primary,no,0.041503,yes,no,unknown,0.733333,may,0.08143,0,0,0,unknown,no
0.176471,services,married,secondary,no,0.046241,no,no,cellular,0.2,jul,0.047666,0,0.175459,0.04,other,no
0.279412,management,divorced,unknown,no,0.044469,yes,no,cellular,0.566667,nov,0.030453,0.020408,0,0,unknown,no
0.338235,management,divorced,tertiary,no,0.044684,no,no,cellular,0.6,nov,0.045018,0.040816,0,0,unknown,no
0.367647,services,single,secondary,no,0.045892,no,no,unknown,0.366667,jun,0.034757,0.020408,0,0,unknown,no
0.367647,entrepreneur,married,secondary,no,0.045718,no,no,cellular,0.2,jul,0.040053,0.020408,0,0,unknown,no
0.102941,housemaid,married,tertiary,no,0.051758,no,no,cellular,0.966667,jan,0.054618,0.040816,0,0,unknown,no
0.323529,management,married,tertiary,no,0.123435,no,no,cellular,0.633333,nov,0.058921,0.020408,0,0,unknown,no
0.529412,blue-collar,married,primary,no,0.052885,yes,no,unknown,0.133333,may,0.080437,0,0,0,unknown,no
0.705882,retired,married,unknown,no,0.053811,no,no,telephone,0.533333,aug,0.038067,0,0.12156,0.08,failure,no
0.544118,self-employed,married,secondary,no,0.054993,no,yes,cellular,0.966667,jul,0.047997,0.020408,0,0,unknown,no
0.5,admin.,married,secondary,no,0.045879,no,yes,cellular,0.666667,aug,0.023171,0.020408,0,0,unknown,no
0.720588,retired,divorced,secondary,no,0.100697,no,no,telephone,0.433333,jul,0.295597,0.020408,0,0,unknown,yes
0.176471,technician,married,secondary,no,0.046764,no,no,cellular,0.866667,aug,0.025488,0.040816,0,0,unknown,no
0.588235,management,married,secondary,no,0.045033,no,no,cellular,0.666667,nov,0.011917,0,0,0,unknown,no
0.191176,management,single,tertiary,no,0.078509,yes,no,cellular,0.833333,aug,0.315789,0.102041,0,0,unknown,yes
0.441176,technician,married,tertiary,no,0.061046,no,no,cellular,0.4,aug,0.115856,0.040816,0,0,unknown,yes
0.338235,admin.,divorced,secondary,no,0.068778,yes,no,unknown,0.433333,may,0.048328,0,0,0,unknown,no
0.867647,retired,divorced,primary,no,0.047543,no,no,telephone,0.7,oct,0.030785,0,0,0,unknown,yes
0.191176,blue-collar,married,secondary,no,0.072509,yes,no,cellular,0.433333,nov,0.04237,0,0,0,unknown,yes
0.205882,management,married,secondary,no,0.097287,yes,no,cellular,0.166667,may,0.251903,0,0.393349,0.08,failure,yes
0.058824,services,single,tertiary,no,0.049342,yes,no,unknown,0.966667,may,0.003972,0.346939,0,0,unknown,no
0.279412,management,single,tertiary,no,0.205152,yes,no,unknown,0.533333,nov,0.200265,0.020408,0.116972,0.12,failure,no
0.25,management,single,tertiary,no,0.051892,no,no,cellular,0.333333,aug,0.033764,0.020408,0,0,unknown,no
0.485294,blue-collar,married,secondary,no,0.059462,yes,no,cellular,0.4,may,0.119497,0,0,0,unknown,no
0.191176,technician,married,tertiary,no,0.049785,yes,no,cellular,0.4,may,0.066534,0.040816,0,0,unknown,no
0.191176,technician,single,tertiary,no,0.074053,yes,no,cellular,0.666667,nov,0.002317,0.061224,0,0,unknown,no
0.220588,management,single,tertiary,no,0.056174,yes,no,unknown,0.2,may,0.033433,0.020408,0,0,unknown,no
0.529412,blue-collar,married,primary,no,0.046415,no,no,telephone,0.033333,feb,0.018206,0.040816,0.006881,0.08,other,no
0.102941,blue-collar,married,primary,no,0.044469,yes,no,unknown,0.666667,may,0.139358,0,0,0,unknown,no
0.191176,entrepreneur,single,primary,yes,0.033073,yes,yes,cellular,0.1,feb,0.066203,0,0,0,unknown,no
0.617647,admin.,married,unknown,no,0.106603,yes,no,cellular,0.866667,jan,0.05859,0,0.106651,0.04,success,yes
0.382353,blue-collar,divorced,primary,no,0.055798,no,no,unknown,0.133333,jun,0.33565,0.040816,0,0,unknown,yes
0.264706,technician,single,secondary,no,0.04753,yes,no,cellular,0.633333,aug,0.574644,0.020408,0,0,unknown,no
0.279412,technician,single,secondary,no,0.04514,no,no,cellular,0.933333,aug,0.031116,0.020408,0,0,unknown,no
0.220588,technician,married,tertiary,no,0.065127,yes,no,cellular,0.466667,jun,0.144654,0,0.065367,0.04,other,yes
0.5,blue-collar,married,secondary,no,0.074415,yes,no,cellular,0.433333,jul,0.088712,0.040816,0,0,unknown,no
0.426471,admin.,married,secondary,no,0.085596,yes,no,telephone,0.466667,jul,0.051308,0.020408,0,0,unknown,no
0.558824,management,married,secondary,no,0.04557,no,yes,telephone,0.1,feb,0.045018,0,0,0,unknown,no
0.205882,self-employed,single,tertiary,no,0.073395,no,no,cellular,0.533333,nov,0.096326,0,0,0,unknown,no
0.25,retired,single,secondary,no,0.045825,yes,yes,unknown,0.833333,may,0.102615,0,0,0,unknown,no
0.514706,technician,divorced,secondary,no,0.054993,yes,yes,unknown,0.466667,may,0.190334,0,0,0,unknown,no
0.323529,blue-collar,married,primary,no,0.037543,no,yes,telephone,0.233333,jul,0.182059,0.040816,0,0,unknown,no
0.647059,retired,married,secondary,no,0.05004,yes,no,cellular,0.2,oct,0.105594,0,0,0,unknown,no
0.426471,management,married,tertiary,no,0.123488,no,no,cellular,0.4,aug,0.073817,0.020408,0,0,unknown,no
0.426471,services,married,secondary,no,0.062657,no,no,cellular,0.1,jul,0.043032,0.020408,0,0,unknown,no
0.544118,admin.,married,secondary,no,0.270949,no,no,cellular,0.2,oct,0.072493,0,0,0,unknown,no
0.470588,blue-collar,divorced,secondary,no,0.047194,yes,no,cellular,0.233333,may,0.043032,0,0.196101,0.2,failure,no
0.176471,services,married,secondary,no,0.049006,yes,no,cellular,0.9,jan,0.049983,0,0,0,unknown,no
0.147059,technician,married,secondary,no,0.050429,yes,no,cellular,0.666667,jul,0.041708,0.061224,0,0,unknown,no
0.323529,management,married,secondary,no,0.044469,no,yes,cellular,0.2,jul,0.207216,0.040816,0,0,unknown,no
0.191176,technician,single,tertiary,no,0.049301,no,no,cellular,0.6,nov,0.052963,0.020408,0,0,unknown,no
0.264706,management,married,tertiary,no,0.044469,no,no,cellular,0.5,jul,0.087388,0.020408,0.209862,0.12,success,yes
0.338235,entrepreneur,divorced,tertiary,yes,0.044496,yes,no,unknown,0.133333,may,0.124462,0,0,0,unknown,no
0.176471,management,single,tertiary,no,0.128334,yes,no,unknown,0.266667,may,0.049652,0.020408,0,0,unknown,no
0.323529,services,married,tertiary,no,0.049999,yes,no,unknown,0.066667,jun,0.049652,0.081633,0,0,unknown,no
0.544118,retired,married,secondary,no,0.049087,yes,no,unknown,0.466667,may,0.071831,0,0,0,unknown,no
0.514706,management,divorced,tertiary,no,0.087717,no,no,cellular,0.433333,aug,0.020854,0.020408,0,0,unknown,no
0.323529,blue-collar,divorced,secondary,no,0.046805,yes,no,cellular,0.433333,may,0.120159,0.020408,0.341743,0.04,other,no
0.308824,technician,single,secondary,no,0.052402,no,yes,cellular,0.433333,aug,0.027474,0.102041,0,0,unknown,no
0.455882,blue-collar,divorced,primary,no,0.049677,no,no,cellular,0.133333,feb,0.230718,0,0,0,unknown,no
0.308824,unemployed,married,secondary,no,0.047409,yes,no,cellular,0.533333,nov,0.066203,0.020408,0.225917,0.04,failure,no
